"gameId","playId","nflId","displayName","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event"
2022110300,55,38542,"Fletcher Cox",46,"2022-11-03 20:16:34.900000",91,"PHI","right",39.7,25.92,2.65,1.72,0.27,221.84,100.52,"tackle"
2022110300,55,39984,"Darius Slay",46,"2022-11-03 20:16:34.900000",2,"PHI","right",44.16,24.33,4.79,2.43,0.49,66.69,84.43,"tackle"
2022110300,55,42372,"Phillip Dorsett",46,"2022-11-03 20:16:34.900000",4,"HOU","right",45.49,23.73,4.98,2.43,0.51,91.52,130.5,"tackle"
2022110300,55,42410,"A.J. Cann",46,"2022-11-03 20:16:34.900000",60,"HOU","right",39.98,26.98,3.82,1.15,0.4,129.1,89.52,"tackle"
2022110300,55,43302,"Laremy Tunsil",46,"2022-11-03 20:16:34.900000",78,"HOU","right",36.79,27.5,2.05,1.51,0.21,107.22,124.77,"tackle"
2022110300,55,43351,"James Bradberry",46,"2022-11-03 20:16:34.900000",24,"PHI","right",50.2,37.66,4.09,1.7,0.42,182.53,140.51,"tackle"
2022110300,55,43378,"Javon Hargrave",46,"2022-11-03 20:16:34.900000",97,"PHI","right",37.96,29.3,2.33,0.34,0.24,115.07,108.47,"tackle"
2022110300,55,43396,"Chris Moore",46,"2022-11-03 20:16:34.900000",15,"HOU","right",44.54,36.32,4.6,2.2,0.46,156.06,115.86,"tackle"
2022110300,55,44825,"Haason Reddick",46,"2022-11-03 20:16:34.900000",7,"PHI","right",40.66,20.56,4.58,2.23,0.47,62.09,62.91,"tackle"
2022110300,55,44831,"O.J. Howard",46,"2022-11-03 20:16:34.900000",83,"HOU","right",36.63,19.29,2.95,0.13,0.29,82.51,89.61,"tackle"
2022110300,55,46188,"Kyzir White",46,"2022-11-03 20:16:34.900000",43,"PHI","right",43.17,26.31,5.33,1.28,0.54,105.93,88.96,"tackle"
2022110300,55,46194,"Avonte Maddox",46,"2022-11-03 20:16:34.900000",29,"PHI","right",45.79,36.4,5.37,1.96,0.54,140.89,123.36,"tackle"
2022110300,55,46199,"Josh Sweat",46,"2022-11-03 20:16:34.900000",94,"PHI","right",39.75,27.61,4.23,1.74,0.44,93.15,84.3,"tackle"
2022110300,55,46224,"Scott Quessenberry",46,"2022-11-03 20:16:34.900000",54,"HOU","right",36.65,29,0.93,0.87,0.09,104.45,114.66,"tackle"
2022110300,55,47806,"Tytus Howard",46,"2022-11-03 20:16:34.900000",71,"HOU","right",38.59,25.92,1.76,1.1,0.18,100.19,77.73,"tackle"
2022110300,55,47888,"Chauncey Gardner-Johnson",46,"2022-11-03 20:16:34.900000",23,"PHI","right",43.65,24.34,2.98,2.85,0.3,238.27,90.62,"tackle"
2022110300,55,47974,"Marcus Epps",46,"2022-11-03 20:16:34.900000",22,"PHI","right",50.52,24.45,2.27,1.52,0.23,260.3,265.26,"tackle"
2022110300,55,48516,"T.J. Edwards",46,"2022-11-03 20:16:34.900000",57,"PHI","right",42.65,29.7,5.46,1.82,0.55,128.78,112.75,"tackle"
2022110300,55,48601,"Tyron Johnson",46,"2022-11-03 20:16:34.900000",18,"HOU","right",48.81,36.96,4.76,1.5,0.48,132.54,133.61,"tackle"
2022110300,55,53496,"Davis Mills",46,"2022-11-03 20:16:34.900000",10,"HOU","right",35.72,21.42,2.22,0.46,0.22,30.72,25.71,"tackle"
2022110300,55,54480,"Kenyon Green",46,"2022-11-03 20:16:34.900000",59,"HOU","right",37.34,30.73,1.52,1.04,0.16,103.45,73.47,"tackle"
2022110300,55,54572,"Dameon Pierce",46,"2022-11-03 20:16:34.900000",31,"HOU","right",44.68,24.69,4.31,2.86,0.44,72.61,81.65,"tackle"
2022110300,55,NA,"football",46,"2022-11-03 20:16:34.900000",NA,"football","right",44.9000015258789,24.4300003051758,3.75,3.38000011444092,0.389999985694885,NA,NA,"tackle"
2022110300,76,38542,"Fletcher Cox",25,"2022-11-03 20:17:07.900000",91,"PHI","right",52.13,10.76,5.74,2.93,0.6,161.86,140.91,"tackle"
2022110300,76,39984,"Darius Slay",25,"2022-11-03 20:17:07.900000",2,"PHI","right",52.27,5.11,4.02,1.86,0.39,13.64,130.23,"tackle"
2022110300,76,42372,"Phillip Dorsett",25,"2022-11-03 20:17:07.900000",4,"HOU","right",52.74,5.68,3.36,4.24,0.33,77.37,115.79,"tackle"
2022110300,76,42410,"A.J. Cann",25,"2022-11-03 20:17:07.900000",60,"HOU","right",48.98,14.34,3.97,1.65,0.41,153.49,150.51,"tackle"
2022110300,76,43302,"Laremy Tunsil",25,"2022-11-03 20:17:07.900000",78,"HOU","right",48.08,21.87,1.83,1.52,0.19,124.19,136.79,"tackle"
2022110300,76,43351,"James Bradberry",25,"2022-11-03 20:17:07.900000",24,"PHI","right",51.64,29.19,3.1,1.73,0.31,111.95,98.98,"tackle"
2022110300,76,43378,"Javon Hargrave",25,"2022-11-03 20:17:07.900000",97,"PHI","right",53.09,17.37,4.89,1.72,0.5,135.04,127.89,"tackle"
2022110300,76,43396,"Chris Moore",25,"2022-11-03 20:17:07.900000",15,"HOU","right",44.79,24.33,1.78,0.69,0.18,139.72,129.75,"tackle"
2022110300,76,44825,"Haason Reddick",25,"2022-11-03 20:17:07.900000",7,"PHI","right",51.5,10.06,5.56,2.74,0.57,159.23,139.44,"tackle"
2022110300,76,44831,"O.J. Howard",25,"2022-11-03 20:17:07.900000",83,"HOU","right",49.18,22.93,2.87,0.71,0.29,128.27,123.12,"tackle"
2022110300,76,46188,"Kyzir White",25,"2022-11-03 20:17:07.900000",43,"PHI","right",53.67,10.31,6.69,2.05,0.68,159.6,141.04,"tackle"
2022110300,76,46194,"Avonte Maddox",25,"2022-11-03 20:17:07.900000",29,"PHI","right",49.78,24.51,4.89,0.71,0.49,129.9,117.43,"tackle"
2022110300,76,46199,"Josh Sweat",25,"2022-11-03 20:17:07.900000",94,"PHI","right",54.08,17.72,5.74,3.29,0.6,165.98,133.51,"tackle"
2022110300,76,46224,"Scott Quessenberry",25,"2022-11-03 20:17:07.900000",54,"HOU","right",49.92,15.38,2.91,1.87,0.3,127.75,143.47,"tackle"
2022110300,76,47806,"Tytus Howard",25,"2022-11-03 20:17:07.900000",71,"HOU","right",46.24,13.81,2.28,1.41,0.24,125.67,143.31,"tackle"
2022110300,76,47888,"Chauncey Gardner-Johnson",25,"2022-11-03 20:17:07.900000",23,"PHI","right",60.84,15.51,5.16,2.01,0.52,196.52,180.21,"tackle"
2022110300,76,47974,"Marcus Epps",25,"2022-11-03 20:17:07.900000",22,"PHI","right",52.71,5.63,4.2,3.72,0.44,136.95,133.22,"tackle"
2022110300,76,48516,"T.J. Edwards",25,"2022-11-03 20:17:07.900000",57,"PHI","right",52.32,18.8,6.05,1.02,0.61,147.56,129.1,"tackle"
2022110300,76,53496,"Davis Mills",25,"2022-11-03 20:17:07.900000",10,"HOU","right",41.27,21.57,1.62,0.14,0.16,114.3,144.91,"tackle"
2022110300,76,54480,"Kenyon Green",25,"2022-11-03 20:17:07.900000",59,"HOU","right",50.31,17.2,3.41,1.16,0.35,152.14,137.92,"tackle"
2022110300,76,54572,"Dameon Pierce",25,"2022-11-03 20:17:07.900000",31,"HOU","right",43.7,23.38,1.23,0.39,0.12,141.46,146.61,"tackle"
2022110300,76,54635,"Teagan Quitoriano",25,"2022-11-03 20:17:07.900000",84,"HOU","right",52.11,19.91,5.3,1.96,0.54,144.35,135.02,"tackle"
